source_id,organization_id,organization_name,source_url,platform,authoritative_level,crawl_status,program_offerings_in_v3_for_org,last_checked_at,notes
VT-MUNI-CHARLOTTE-MYREC,org-us-vt-charlotte-recreation,Charlotte Recreation,https://charlottevt.myrec.com/info/default.aspx,MyRec,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-ESSEX-GENERIC,org-us-vt-essex-parks-recreation,Essex Parks & Recreation,https://www.essexvt.gov/632/Youth-Recreation,Municipal Website,primary,offering_data_extracted_or_corroborated,4,2026-09-03,Legacy coverage: Municipal youth recreation
VT-MUNI-HARTFORD-MYREC,org-us-vt-hartford-parks-recreation,Hartford Parks & Recreation,https://hartfordvt.myrec.com/info/activities/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,8,2026-09-03,Useful multi-sport catalog for validating activity taxonomy. | Legacy coverage: Municipal youth recreation and sports
VT-MUNI-HARTLAND-MYREC,org-us-vt-hartland-recreation,Hartland Recreation,https://hartlandvt.myrec.com/info/default.aspx,MyRec,primary,checked_no_qualifying_offering_extracted,0,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-HIGHGATE-MYREC,org-us-vt-highgate-parks-recreation,Highgate Parks & Recreation,https://highgatevt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,3,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-MONTPELIER-WEBTRAC,org-us-vt-montpelier-recreation,Montpelier Recreation,https://www.montpelier-vt.org/838/Montpelier-Recreation,WebTrac/RecTrac,primary,checked_no_qualifying_offering_extracted,0,2026-09-03,High-value launch geography for OpenPlay. | Legacy coverage: Municipal youth recreation and sports
VT-COMMUNITY-NORTHFIELD-ATHLETICS,org-us-vt-northfield-community-athletics,Northfield Community Athletics,https://northfieldsports.org/,Custom Website,primary,checked_no_qualifying_offering_extracted,0,2026-09-03,"User-researched source. Direct fetch timed out during v2 refresh; crawler should verify organization identity, activity scope, and registration endpoints before publication."
VT-MUNI-NORWICH-MYREC,org-us-vt-norwich-recreation,Norwich Recreation,https://norwichvt.myrec.com/info/activities/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,20,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-RANDOLPH-MYREC,org-us-vt-randolph-recreation,Randolph Recreation,https://randolphvt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,9,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-STALBANS-MYREC,org-us-vt-st-albans-recreation,St. Albans Recreation,https://stalbansvt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,9,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-SWANTON-MYREC,org-us-vt-swanton-recreation,Swanton Recreation,https://swantonvt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,12,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-STATE-HOCKEY-MEMBERS,org-us-vt-vsaha-member-associations,VSAHA Member Associations,https://www.vermonthockey.org/members,SportsEngine,secondary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,"Seed child sources for Burlington, Central Vermont, Essex, Lyndon, Middlebury, Milton, Missisquoi, Northshire, Rutland, St. Albans, Stowe, Woodstock, Upper Valley and others. | Legacy coverage: Local youth hockey associations statewide"
VT-MUNI-VERGENNES-MYREC,org-us-vt-vergennes-parks-recreation,Vergennes Parks & Recreation,https://vergennesvt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,9,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-STATE-SOCCER,org-us-vt-vermont-soccer-association,Vermont Soccer Association,https://www.vermontsoccer.org/leagues/,Association Website,secondary,offering_data_extracted_or_corroborated,4,2026-09-03,"Use as discovery source for local soccer clubs, then crawl local registration sources. | Legacy coverage: Statewide soccer leagues and affiliated organizations"
VT-STATE-HOCKEY,org-us-vt-vermont-state-amateur-hockey-association,Vermont State Amateur Hockey Association,https://www.vermonthockey.org/,SportsEngine,primary,checked_no_qualifying_offering_extracted,0,2026-09-03,Member association directory is especially valuable for recursive source discovery. | Legacy coverage: Statewide youth hockey and local member associations
VT-MUNI-WATERBURY-MYREC,org-us-vt-waterbury-recreation-department,Waterbury Recreation Department,https://waterburyvt.myrec.com/info/activities/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,9,2026-09-03,Good reference implementation for MyRec activity/program detail extraction. | Legacy coverage: Municipal youth recreation and sports
VT-LEAGUE-WATERBURY-SOCCER,org-us-vt-waterbury-youth-soccer,Waterbury Youth Soccer,https://waterburysoccer.com/,Independent Website,primary,offering_data_extracted_or_corroborated,1,2026-09-03,Legacy coverage: Youth soccer | Official site identifies 2026 Fall Recreation soccer registration.
VT-MUNI-WILLISTON-MYREC,org-us-vt-williston-recreation-parks,Williston Recreation & Parks,https://willistonvt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,10,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-WINOOSKI-OFFICIAL,org-us-vt-winooski-recreation-parks,Winooski Recreation & Parks,https://www.winooskivt.gov/rec,CivicEngage / Municipal Website,primary,offering_data_extracted_or_corroborated,1,2026-09-03,Official municipal source. Current page describes seasonal programming including youth soccer.
VT-MUNI-WOODSTOCK-MYREC,org-us-vt-woodstock-recreation-center,Woodstock Recreation Center,https://woodstockvt.myrec.com/info/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,4,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-BARRE-MIXED,org-us-vt-barre-city-recreation,Barre City Recreation,https://www.barrecity.org/recreation/,Municipal Website / MyRec links,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Important Central Vermont source. | Legacy coverage: Municipal youth recreation and sports
VT-LEAGUE-BARRE-BASEBALL-SOFTBALL-TSHQ,org-us-vt-barre-community-baseball-softball,Barre Community Baseball & Softball,https://tshq.bluesombrero.com/Default.aspx?tabid=2737114,Sports Connect / Blue Sombrero,secondary,checked_no_qualifying_offering_extracted,0,2026-09-03,User-provided historical/alternate registration URL. Keep for source discovery and redirect resolution.
VT-LEAGUE-BRADFORD-YOUTH-SPORTS,org-us-vt-bradford-youth-sports,Bradford Youth Sports,https://bradfordyouthsportsvt.sportngin.com/,SportsEngine,primary,blocked_403,0,2026-09-03,Legacy coverage: Youth sports including soccer
VT-MUNI-BRATTLEBORO-GENERIC,org-us-vt-brattleboro-recreation-parks,Brattleboro Recreation & Parks,https://brattleboro.gov/departments/recreation/,Municipal Website,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-COLCHESTER-GENERIC,org-us-vt-colchester-parks-recreation,Colchester Parks & Recreation,https://www.colchestervt.gov/333/Parks-Recreation,Municipal Website,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-PRIVATE-GAMEON,org-us-vt-game-on-vermont,Game On Vermont,https://gameonvt.com/programs.php?gameon=0,Custom Website,primary,offering_data_extracted_or_corroborated,7,2026-09-03,Legacy coverage: Youth multi-sport programs
VT-MUNI-LYNDON-GENERIC,org-us-vt-lyndon-recreation,Lyndon Recreation,https://www.lyndonrecreation.org/Default.aspx?tabid=1179731,League/Registration Website,primary,fetch_failed,0,2026-09-03,Legacy coverage: Municipal youth sports registration
VT-MUNI-MANCHESTER-GENERIC,org-us-vt-manchester-parks-recreation,Manchester Parks & Recreation,https://manchester-vt.gov/summer-programs,Municipal Website,primary,offering_data_extracted_or_corroborated,8,2026-09-03,Legacy coverage: Municipal youth recreation and seasonal programs
VT-MUNI-MILTON-MIXED,org-us-vt-milton-recreation,Milton Recreation,https://www.miltonvt.gov/145/Sign-Up-For,Municipal Website + PDF,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Seasonal program guides are high-value unstructured sources. | Legacy coverage: Municipal youth sports and recreation
VT-MUNI-SHELBURNE-WEBTRAC,org-us-vt-shelburne-parks-recreation,Shelburne Parks & Recreation,https://www.shelburnevt.org/415/Register-On-Line,WebTrac,primary,offering_data_extracted_or_corroborated,11,2026-09-03,Also monitor public PDF registration forms. | Legacy coverage: Municipal youth sports and recreation
VT-MUNI-SOUTHBURLINGTON-CIVICREC,org-us-vt-south-burlington-recreation-parks,South Burlington Recreation & Parks,https://southburlingtonvt.gov/457/FAQs,CivicRec,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Use page for platform discovery; prefer CivicRec catalog URLs when identified. | Legacy coverage: Municipal youth recreation and sports
VT-MUNI-SPRINGFIELD-SPORTSENGINE,org-us-vt-springfield-parks-recreation,Springfield Parks & Recreation,https://www.springfieldvtparksandrec.com/,SportsEngine,primary,blocked_direct_but_indexed_search_success,4,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-STOWE-GENERIC,org-us-vt-stowe-parks-recreation,Stowe Parks & Recreation,https://www.stowevt.gov/Departments/Parks-Recreation,Municipal Website,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-STATE-USTA-JUNIOR,org-us-vt-usta-junior-tennis-vermont,USTA Junior Tennis Vermont,https://www.usta.com/en/home/play/youth-tennis/programs/newengland/vermont/junior-tennis-in-vermont.html,USTA,primary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Legacy coverage: Youth tennis opportunities statewide
VT-STATE-USTA,org-us-vt-usta-vermont,USTA Vermont,https://www.usta.com/en/home/about-usta/who-we-are/newengland/vermont.html,USTA,secondary,source_reachable_but_no_current_offering_extracted,0,2026-09-03,Legacy coverage: Statewide tennis
VT-LEAGUE-VERNON-LACROSSE,org-us-vt-vernon-lacrosse-association,Vernon Lacrosse Association,https://www.vernonlacrosse.org/page/show/8224001-registration,SportsEngine,primary,offering_data_extracted_or_corroborated,1,2026-09-03,Legacy coverage: Youth lacrosse
VT-MUNI-WINOOSKI-FACEBOOK-DISCOVERY,org-us-vt-winooski-recreation-parks,Winooski Recreation & Parks,https://facebook.com/fb-answers/youth-sports-training-programs-in-vermont/?locale=mk_MK,Facebook,discovery_only,discovery_only_not_authoritative,1,2026-09-03,Not treated as authoritative. Prefer Winooski's official municipal Recreation & Parks source for canonical dates and registration links.
